DATE,sp500,daily_return
1/1/2024,4905.696341,0.002148332
1/2/2024,4742.83,0.002148332
1/3/2024,4704.81,-0.008048614
1/4/2024,4688.68,-0.003434297
1/5/2024,4697.24,0.001824009
1/8/2024,4763.54,0.014015987
1/9/2024,4756.5,-0.001478986
1/10/2024,4783.45,0.00564994
1/11/2024,4780.24,-0.000671289
1/12/2024,4783.83,0.000750726
1/15/2024,4905.696341,0.002148332
1/16/2024,4765.98,0.002148332
1/17/2024,4739.21,-0.005632727
1/18/2024,4780.94,0.008766725
1/19/2024,4839.81,0.012238284
1/22/2024,4850.43,0.002191897
1/23/2024,4864.6,0.002917132
1/24/2024,4868.55,0.000811659
1/25/2024,4894.16,0.005246506
1/26/2024,4890.97,-0.00065201
1/29/2024,4927.93,0.007528374
1/30/2024,4924.97,-0.000600838
1/31/2024,4845.65,-0.016236788
2/1/2024,4906.19,0.012416278
2/2/2024,4958.61,0.010627786
2/5/2024,4942.81,-0.003191464
2/6/2024,4954.23,0.002307762
2/7/2024,4995.06,0.008207667
2/8/2024,4997.91,0.000570401
2/9/2024,5026.61,0.005725976
2/12/2024,5021.84,-0.0009494
2/13/2024,4953.17,-0.013768625
2/14/2024,5000.62,0.009534129
2/15/2024,5029.73,0.0058044
2/16/2024,5005.57,-0.004815012
2/19/2024,4905.696341,0.002148332
2/20/2024,4975.51,0.002148332
2/21/2024,4981.8,0.001263394
2/22/2024,5087.03,0.020902892
,,
,,
,,
,,
,,
